conference,unique_id,institutions
aaai,14570,"['Chinese Academy of Sciences', 'Nanjing University', 'Harbin Institute of Technology']"
aaai,14282,"['Cornell', 'IBM']"
aaai,14391,"['East China Normal University', 'Shanghai Jiaotong University', 'Georgia Institute of Technology', 'IBM']"
aaai,14234,"['University of Southern California', 'University of Miami']"
aaai,14717,"['University of Science and Technology of China', 'University of S&T of China']"
aaai,14326,"['University of Technology Sydney', 'Xidian University', 'Tencent', 'Beihang University']"
aaai,14517,['Sun Yat-sen University']
aaai,14890,"['Chinese Academy of Sciences', 'Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'Hong Kong Polytechnic University']"
aaai,14478,['Nanyang Technological University']
aaai,14156,"['University of California, Los Angeles']"
aaai,14501,"['Chinese Academy of Sciences', 'Xidian University', 'Microsoft']"
aaai,14237,"['University of Technology Sydney', 'Alibaba', 'Hong Kong Polytechnic University']"
aaai,14943,['University of Electronic Science and Technology of China']
aaai,14658,"['Arizona State University', 'Google']"
aaai,14711,['University of Manchester']
aaai,14769,"['University of Waterloo', 'University of Manchester', 'Carnegie Mellon']"
aaai,15036,"['I.I.T. Bombay', 'Microsoft']"
aaai,14735,['University of Melbourne']
aaai,14756,"['Ohio State University', 'UC Davis', 'Microsoft']"
aaai,14538,['University of Western Ontario']
aaai,14858,['McGill University']
aaai,14814,"['Tel Aviv University', 'Carnegie Mellon', 'Microsoft']"
aaai,14992,"['University of Colorado', 'University of New Hampshire', 'IBM']"
aaai,14748,[]
aaai,14860,"['Boston University', 'University of Virginia']"
aaai,14781,['Carnegie Mellon']
aaai,14329,['Northeastern University']
aaai,14335,['I.I.T. Bombay']
aaai,14328,[]
aaai,14697,['SUNY Buffalo']
aaai,14230,"['ETH Zurich', 'Yale University']"
aaai,14201,['Hong Kong University of Science and Technology']
aaai,14846,"['Peking University', 'Shanghai Jiaotong University']"
aaai,14378,['University of Oxford']
aaai,14832,['Rutgers University']
aaai,14350,['IBM']
aaai,14740,['Politecnico di Milano']
aaai,15002,"['Washington State University', 'American University of Beirut']"
aaai,14665,"['Queensland University of Technology', 'University of Melbourne']"
aaai,14486,['UC Berkeley']
aaai,14288,['University of Technology Sydney']
aaai,14374,['Chinese Academy of Sciences']
aaai,14747,['Nanjing University']
aaai,14802,[]
aaai,14480,"['University of Michigan', 'University of Wisconsin-Madison', 'Walmart Labs']"
aaai,15027,"['Northwestern Polytechnical University', 'University of Texas at Arlington']"
aaai,14657,['Microsoft']
aaai,14759,"['Indian Institute of Science', 'ERNET', 'Microsoft']"
aaai,14205,"['Nanjing University', 'Shanghai Jiaotong University']"
aaai,14429,"['University of Adelaide', 'Northwestern Polytechnical University', 'South China University of Technology']"
aaai,14896,"['Indian Institute of Science', 'ERNET']"
aaai,14738,['Hong Kong University of Science and Technology']
aaai,14286,[]
aaai,14777,"['Temple University', 'IBM']"
aaai,14615,"['Chinese Academy of Sciences', 'Northwestern Polytechnical University']"
aaai,14784,[]
aaai,14304,['National Institute of Informatics']
aaai,14850,['National Institute of Informatics']
aaai,14253,['Chinese Academy of Sciences']
aaai,14200,['National University of Singapore']
aaai,14436,['Southeast University']
aaai,14539,['Georgia Institute of Technology']
aaai,14929,['Nanjing University']
aaai,14633,['ETH Zurich']
aaai,14999,['University of Texas at Arlington']
aaai,14930,"['ETH Zurich', 'Cornell']"
aaai,14213,['University of Montreal']
aaai,14990,['Indiana University']
aaai,14475,['Peking University']
aaai,14569,['Southern Illinois University']
aaai,14355,"['Ben-Gurion University of the Negev', 'Imperial College London']"
aaai,14710,['Pohang University of Science and Technology']
aaai,14215,"['York University', 'New York University']"
aaai,15043,['Stanford University']
aaai,14465,['NTT']
aaai,14434,"['Stanford University', 'Microsoft']"
aaai,14866,['IIT Madras']
aaai,14456,['Carnegie Mellon']
aaai,14315,['Orange Telecom']
aaai,14803,['Seoul National University']
