vii,type,Institution name,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,Alt7,Alt8,Alt9,Alt10
Switzerland,Academia,University of Basel,unibas.ch,,,,,,,,,
Switzerland,Academia,University of Bern,Univ of Bern,Univ. of Bern,,,,,,,,
Switzerland,Academia,University of Geneva,,,,,,,,,,
Switzerland,Government,IDSIA,,,,,,,,,,
Switzerland,Independent Research,Idiap Research Institute,,,,,,,,,,
Taiwan,Academia,Academia Sinica,,,,,,,,,,
Taiwan,Academia,National Taiwan University,,,,,,,,,,
Turkey,Academia,Boğaziçi University,boun.edu.tr,,,,,,,,,
Turkey,Academia,Sabancı University,Sabanci University,,,,,,,,,
UK,Academia,Aston University,,,,,,,,,,
UK,Academia,Imperial College London,,,,,,,,,,
UK,Academia,King's College London,@kcl.ac.uk,,,,,,,,,
UK,Academia,London School of Economics,LSE,,,,,,,,,
UK,Academia,Newcastle University,,,,,,,,,,
UK,Academia,Univ. of Hertfordshire,,,,,,,,,,
UK,Academia,University College London,Univ College London,Univ. College London,"Gatsby Computational Neuroscience Unit, UCL","Gatsby Unit, UCL",,,,,,
UK,Academia,University of Birmingham,Univ of Birmingham,Univ. of Birmingham,,,,,,,,
UK,Academia,University of Bristol,Univ of Bristol,Univ. of Bristol,,,,,,,,
UK,Academia,University of Cambridge,Univ of Cambridge,Univ. of Cambridge,Cambridge University,Cambridge Medical School,CMS,cam.ac.uk,,,,
UK,Academia,University of Edinburgh,Univ of Edinburgh,Univ. of Edinburgh,Edinburgh University,,,,,,,
UK,Academia,University of Glasgow,Univ of Glasgow,Univ. of Glasgow,,,,,,,,
UK,Academia,University of London,"Royal Holloway, University of London","Royal Holloway College, University of London",RHUL,London Business School,,,,,,
UK,Academia,University of Newcastle,Univ of Newcastle,Univ. of Newcastle,,,,,,,,
UK,Academia,University of Nottingham,Univ of Nottingham,Univ. of Nottingham,,,,,,,,
UK,Academia,University of Oxford,Univ of Oxford,Univ. of Oxford,Oxford University,Univ. Oxford,,,,,,
UK,Academia,University of Plymouth,,,,,,,,,,
UK,Academia,University of Sheffield,Univ of Sheffield,Univ. of Sheffield,,,,,,,,
UK,Academia,University of Southampton,,,,,,,,,,
UK,Academia,University of St. Andrews,,,,,,,,,,
UK,Academia,University of Stirling,,,,,,,,,,
UK,Academia,University of Sussex,Univ of Sussex,Univ. of Sussex,,,,,,,,
UK,Academia,University of Warwick,Univ of Warwick,Univ. of Warwick,,,,,,,,
UK,Academia,University of York,Univ of York,Univ. of York,,,,,,,,
UK,Academia,Western University,,,,,,,,,,
UK,Academia,Heriot-Watt University,,,,,,,,,,
UK,Academia,University of Manchester,,,,,,,,,,
UK,Academia,University of Aberdeen,,,,,,,,,,
UK,Company,Barclays,BZW Barclays Global Investors,,,,,,,,,
UK,Company,Prowler.io,PROWLER.io,,,,,,,,,
UK,Government,Alan Turing Institute,,,,,,,,,,
UK,Government,Defence Evaluation & Research Agency,,,,,,,,,,
Ukraine,Independent Research,Szkocka Research Group,,,,,,,,,,
Uruguay,Academia,"Universidad de la Rep´ublica, Uruguay","Universidad de la República, Uruguay",,,,,,,,,
