author,paper_count,institution,2013,2014,2015,2016,2017,2018,2019,Notes
 Fahad Shahbaz Khan,19,<none>,1,1,1,2,1,1,12
 Piotr Dollar,19,<none>,4,1,1,1,6,0,6
 Stefan Roth,19,<none>,4,1,2,2,4,4,2
 Bharath Hariharan,19,<none>,0,2,2,1,5,3,6
 Maja Pantic,19,<none>,4,5,3,2,2,2,1
 Tomas Pajdla,19,<none>,3,0,4,2,3,3,4
 Jianchao Yang,19,<none>,6,3,6,0,2,1,1
 Yuri Boykov,19,<none>,5,3,4,1,2,1,3
 Horst Bischof,19,<none>,7,2,6,1,2,1,0
 Ping Tan,19,<none>,6,2,2,2,2,2,3
Liam Paninski,19,Columbia University,5,1,0,4,5,1,3
Ohad Shamir,19,Weizmann Institute of Science,2,2,3,6,2,3,1
Guiguang Ding,18,<none>,0,0,2,3,4,4,5
Rongrong Ji,18,"Xiamen University, China",1,0,1,2,3,1,10
Junzhou Huang,18,University of Texas at Arlington / Tencent AI Lab,0,1,1,1,3,4,8
Mohammad Ghavamzadeh,18,Facebook AI Research,3,1,3,1,4,4,2
Lorenzo Rosasco,18,University of Genova- MIT - IIT,1,0,3,4,3,5,2
Aarti Singh,18,Carnegie Mellon,5,0,3,2,4,2,2
 Liang Zheng,18,<none>,1,2,2,1,5,2,5
 Ying Wu,18,<none>,4,3,1,1,2,1,6
 Feng Liu,18,<none>,2,2,2,2,4,3,3
 Weiming Hu,18,<none>,6,3,2,1,1,2,3
 Iasonas Kokkinos,18,<none>,2,4,2,0,5,2,3
 Stan Sclaroff,18,<none>,3,0,4,2,2,3,4
 Victor Lempitsky,18,<none>,2,1,3,2,5,1,4
 Juan Carlos Niebles,18,<none>,0,1,3,2,5,2,5
 Xiaochun Cao,18,<none>,2,2,3,2,4,1,4
 Jianbo Shi,18,<none>,2,1,3,3,4,1,4
 Joon-Young Lee,18,<none>,2,1,3,2,2,2,6
 Hao Li,18,<none>,0,0,1,1,4,3,9
 Jan-Michael Frahm,18,<none>,0,2,8,2,2,2,2
 Yichen Wei,18,<none>,1,3,3,0,6,3,2
 Xuming He,18,<none>,2,2,4,1,4,3,2
 Pietro Perona,18,<none>,2,3,2,1,3,4,3
 Yoichi Sato,18,<none>,2,3,5,4,3,1,0
 Andrew Fitzgibbon,18,<none>,1,3,9,2,3,0,0
Samy Bengio,18,"Google Research, Brain Team",1,1,1,5,5,3,2
Chelsea Finn,18,Stanford University,0,0,1,1,1,5,10
Tuo Zhao,18,Georgia Institute of Technology,1,2,1,1,4,4,5
Percy S. Liang,18,Stanford University,1,2,4,1,3,3,4
Mingsheng Long,17,Tsinghua University,0,0,0,3,4,5,5
Alexandros G. Dimakis,17,<none>,0,2,3,2,4,1,5
Enhong Chen,17,University of Science and Technology of China,0,2,3,2,2,4,4
Martha White,17,University of Alberta,0,0,1,1,5,4,6
Satinder Singh,17,Google,1,3,3,1,3,2,4
Liwei Wang,17,Peking University,1,1,1,2,4,3,5
Ambuj Tewari,17,University of Michigan,2,1,3,3,2,2,4
Ruslan Salakhutdinov,17,<none>,0,2,0,4,3,4,4
 Ravi Ramamoorthi,17,<none>,2,0,4,2,5,1,3
 Xin Li,17,<none>,1,0,4,0,5,0,7
 Federico Tombari,17,<none>,1,0,2,0,5,1,8
 Tae-Kyun Kim,17,<none>,3,4,2,1,3,3,1
 Wei Wang,17,<none>,2,0,2,1,4,4,4
 Kaiqi Huang,17,<none>,0,1,3,1,4,4,4
 Matthieu Cord,17,<none>,2,1,1,2,2,2,7
 Cheng Deng,17,<none>,1,1,1,1,1,3,9
 Yizhou Yu,17,<none>,1,0,4,1,3,1,7
 Zhen Lei,17,<none>,2,2,4,2,2,1,4
 Qifeng Chen,17,<none>,2,1,1,2,2,4,5
 Guanbin Li,17,<none>,0,0,1,1,3,3,9
 Xiaowei Zhou,17,<none>,1,0,3,1,3,3,6
 Chang-Su Kim,17,<none>,0,1,3,2,6,1,4
 Subhransu Maji,17,<none>,1,4,3,1,2,2,4
 Yuchao Dai,17,<none>,1,0,1,2,4,2,7
 Jia Deng,17,<none>,3,0,4,0,3,3,4
 Mehrtash Harandi,17,<none>,3,2,2,2,3,2,3
 Shahram Izadi,17,<none>,1,3,6,3,3,0,1
 Dong Xu,17,<none>,4,2,4,2,2,1,2
 Cristian Sminchisescu,17,<none>,4,1,3,1,1,6,1
 Philip H. S. Torr,17,<none>,0,1,3,1,9,0,3
Koray Kavukcuoglu,17,<none>,1,1,0,4,9,2,0
Joan Bruna,17,New York University,1,3,3,0,2,0,8
Rob Fergus,17,<none>,2,6,2,3,0,3,1
Jimmy Ba,17,University of Toronto / Vector Institute,1,1,2,3,2,5,3
Tengyu Ma,17,Stanford University,0,2,2,2,3,0,8
Bo Dai,17,Google,1,1,0,0,3,7,5
Michael Jordan,17,UC Berkeley,1,0,3,3,0,3,7
Simon Lacoste-Julien,17,"Mila, Université de Montréal",0,1,4,3,3,2,4
Martin Jaggi,17,EPFL,1,1,1,1,4,5,4
Matthias Hein,17,University of Tubingen,3,1,3,2,3,2,3
Ryan P. Adams,17,Princeton University,4,1,4,2,3,1,2
Nicola Gatti,16,Politecnico di Milano,2,2,0,3,3,4,2
Frank Hutter,16,University of Freiburg & Bosch,0,0,4,1,3,3,5
Yang Yu,16,Nanjing University,0,1,2,4,3,2,4
Sarit Kraus,16,<none>,5,4,3,1,1,0,2
Kun Zhang,16,Carnegie Mellon,0,1,1,0,3,5,6
Jeff Schneider,16,Carnegie Mellon,4,2,1,3,4,2,0
Yishay Mansour,16,Tel Aviv University / Google,2,1,2,1,3,0,7
Tieniu Tan,16,Chinese Academy of Sciences,1,0,0,4,2,6,3
Chang Xu,16,University of Sydney,1,1,1,1,2,4,6
Pramod Viswanath,16,University of Illinois at Urbana-Champaign,0,1,2,3,5,4,1
Pascal Poupart,16,<none>,0,1,3,4,3,5,0
Ricardo Henao,16,Duke University,0,1,3,3,4,2,3
Caiming Xiong,16,Salesforce,0,1,1,1,4,5,4
Sebastian Nowozin,16,Microsoft Research Cambridge,1,0,0,3,3,4,5
Ashish Sabharwal,16,Allen Institute for AI,3,2,0,5,0,4,2
Adnan Darwiche,16,<none>,3,1,3,3,2,1,3
Xiaogang Wang,16,The Chinese University of Hong Kong,0,2,0,4,1,3,6
Andrea Vedaldi,16,Facebook AI Research and University of Oxford,1,1,3,2,3,4,2
Xi Chen,16,New York University,1,1,0,8,2,2,2
Jason Weston,16,<none>,3,0,3,2,4,3,1
 Ming-Yu Liu,16,<none>,1,0,0,2,2,4,7
 Chen Sun,16,<none>,1,1,1,1,5,3,4
 Lin Ma,16,<none>,0,0,3,0,1,5,7
 Yizhou Wang,16,<none>,4,1,2,1,1,0,7
 Ali Borji,16,<none>,1,0,0,1,5,6,3
 Wen Li,16,<none>,2,1,3,1,0,4,5
 Mohammad Rastegari,16,<none>,3,0,3,2,1,1,6
 Elisa Ricci,16,<none>,1,0,1,2,4,3,5
 Patrick Perez,16,<none>,1,1,1,1,4,0,8
 Jianmin Wang,16,<none>,3,1,1,0,3,3,5
 Thomas S. Huang,16,<none>,1,0,2,3,0,4,6
 Slobodan Ilic,16,<none>,0,3,2,1,4,3,3
 Kalyan Sunkavalli,16,<none>,0,0,1,1,5,3,6
 Junliang Xing,16,<none>,2,2,2,1,5,3,1
 Dong Wang,16,<none>,1,1,1,0,4,3,6
 Nanning Zheng,16,<none>,4,0,2,2,3,2,3
 Zhouchen Lin,16,<none>,2,5,3,2,0,1,3
 Richard Hartley,16,<none>,3,2,2,1,0,3,5
 Xinlei Chen,16,<none>,1,1,3,0,1,1,9
 Yu Liu,16,<none>,0,0,0,1,4,4,7
 Boxin Shi,16,<none>,0,0,2,1,4,4,5
 Radu Timofte,16,<none>,2,0,1,2,2,2,7
 Eric P. Xing,16,<none>,2,4,0,2,7,0,1
 Chuang Gan,16,<none>,0,0,2,2,4,4,4
 Imari Sato,16,<none>,3,2,4,2,3,1,1
 Juergen Gall,16,<none>,2,1,2,2,5,4,0
Moritz Hardt,16,UC Berkeley,0,1,3,1,3,2,6
Nando de Freitas,16,Google,2,1,0,4,5,1,3
Raman Arora,16,Johns Hopkins University,1,1,0,1,1,7,5
Jinwoo Shin,16,KAIST; AITRICS,1,0,2,1,3,4,5
Jason D. Lee,16,<none>,2,2,1,1,1,5,4
Bo Li,15,Harbin Institute of Technology,0,1,0,2,2,4,6
Lirong Xia,15,Rensselaer Polytechnic Institute,2,2,0,2,2,3,4
Zhouchen Lin,15,<none>,0,1,3,2,3,4,2
Kristian Kersting,15,<none>,2,3,0,1,3,3,3
Cheng Deng,15,Xidian University,0,0,1,2,4,3,5
Sinno Jialin Pan,15,"Nanyang Technological University, Singapore",1,2,0,1,3,3,5
Venkatesh Saligrama,15,Boston University,1,1,2,2,4,1,4
Ran He,15,"NLPR, CASIA",0,0,0,2,3,6,4
Richard E. Turner,15,<none>,0,1,3,1,5,2,3
Zhe Gan,15,Microsoft,0,0,2,1,6,3,3
Adish Singla,15,MPI-SWS,0,1,1,1,1,6,5
Hao Wang,15,<none>,0,1,3,3,4,1,3
Weinan Zhang,15,<none>,0,0,0,1,1,8,5
Shlomo Zilberstein,15,<none>,1,3,3,2,4,2,0
Chuang Gan,15,MIT-IBM Watson AI Lab,0,0,1,1,1,4,8
Liang Lin,15,<none>,0,1,0,1,1,6,6
Xueqi Cheng,15,<none>,0,1,2,6,0,2,4
Zhiyuan Liu,15,<none>,0,0,4,2,0,4,5
Changyou Chen,15,University at Buffalo,0,2,1,4,1,1,6
Roger Grosse,15,University of Toronto,0,1,1,1,2,4,6
Huan Zhang,15,"University of California, Los Angeles",0,0,0,2,1,3,9
Adrian Weller,15,"Cambridge, Alan Turing Institute",0,1,0,1,4,5,4
Quoc V. Le,15,<none>,0,1,1,1,3,2,7
 Sing Bing Kang,15,<none>,3,4,4,0,1,1,2
 Jonathan T. Barron,15,<none>,3,1,2,1,1,2,5
 Efstratios Gavves,15,<none>,1,2,4,3,3,0,2
 Yun Fu,15,<none>,2,0,2,0,2,2,7
 Li Liu,15,<none>,0,0,1,0,7,1,6
 Bolei Zhou,15,<none>,1,0,1,1,5,2,5
 Shenghua Gao,15,<none>,1,0,0,2,2,5,5
 Yang Liu,15,<none>,1,0,0,1,3,6,4
 Fisher Yu,15,<none>,0,1,2,0,4,3,5
 Jason J. Corso,15,<none>,2,1,3,2,2,1,4
 Boqing Gong,15,<none>,0,0,0,3,4,3,5
